optimizer,epoch,epochs_total,progress_pct,precision,recall,map50,map50_95,val_loss,objective_score
SGD,1,20,5.0,0.4388,0.77462,0.55482,0.40492,3.48747,0.07419579999999995
SGD,2,20,10.0,0.71786,0.79569,0.82419,0.60643,2.99824,0.24460660000000004
SGD,3,20,15.0,0.72038,0.83236,0.84535,0.62251,2.88886,0.26242540000000003
SGD,4,20,20.0,0.63541,0.79253,0.80328,0.59844,2.9254499999999997,0.243381
SGD,5,20,25.0,0.66693,0.82333,0.83251,0.626,2.83419,0.26814859999999996
SGD,6,20,30.0,0.79386,0.8621,0.89139,0.66792,2.65299,0.3083646
SGD,7,20,35.0,0.81009,0.88143,0.90553,0.68528,2.57829,0.32499859999999997
SGD,8,20,40.0,0.81513,0.86377,0.91232,0.69376,2.5581199999999997,0.3321448
SGD,9,20,45.0,0.77444,0.88185,0.90922,0.68945,2.60137,0.32653279999999996
SGD,10,20,50.0,0.84031,0.87694,0.92813,0.71135,2.48688,0.34873219999999994
SGD,11,20,55.0,0.84607,0.89169,0.92735,0.70912,2.47579,0.34783659999999994
SGD,12,20,60.0,0.85026,0.89612,0.93829,0.71273,2.48094,0.3500546
SGD,13,20,65.0,0.86916,0.87997,0.94157,0.72121,2.44442,0.35818179999999994
SGD,14,20,70.0,0.85287,0.90679,0.94561,0.7248,2.42856,0.3616463999999999
SGD,15,20,75.0,0.86563,0.91902,0.95308,0.73248,2.39587,0.3689838
SGD,16,20,80.0,0.90227,0.92966,0.96071,0.74358,2.32763,0.3808482
SGD,17,20,85.0,0.90221,0.91549,0.95995,0.74662,2.3142,0.38378199999999996
SGD,18,20,90.0,0.9076,0.9202,0.95857,0.74643,2.31127,0.38382479999999997
SGD,19,20,95.0,0.90268,0.93124,0.96349,0.74867,2.29963,0.3860911999999999
SGD,20,20,100.0,0.90006,0.93418,0.96327,0.75326,2.27206,0.39095840000000004
SGD,21,20,105.0,0.9002918874639672,0.934065756334391,0.9632154593377978,0.7529720972061273,0.0,0.5270804680442891
Adam,1,20,5.0,0.3075,0.45069,0.28277,0.12913,6.83157,-0.209609
Adam,2,20,10.0,0.49818,0.75083,0.696,0.4747,3.5260100000000003,0.12072939999999996
Adam,3,20,15.0,0.54215,0.68944,0.67509,0.47211,3.40083,0.12642719999999996
Adam,4,20,20.0,0.45357,0.71928,0.67977,0.48148,3.54978,0.1240492
Adam,5,20,25.0,0.57683,0.80118,0.78957,0.56866,3.12193,0.21074620000000002
Adam,6,20,30.0,0.74695,0.82521,0.84621,0.61065,2.83487,0.2573628
Adam,7,20,35.0,0.76365,0.79187,0.85052,0.61165,2.9711499999999997,0.24988600000000002
Adam,8,20,40.0,0.65856,0.79973,0.8364,0.61872,2.85633,0.2617242
Adam,9,20,45.0,0.69655,0.73928,0.79286,0.5817,2.9538900000000003,0.22995659999999998
Adam,10,20,50.0,0.78263,0.83608,0.87628,0.65086,2.71176,0.29289639999999995
Adam,11,20,55.0,0.73571,0.8641,0.87734,0.65057,2.70306,0.29321539999999996
Adam,12,20,60.0,0.78109,0.8605,0.89252,0.6631,2.65297,0.3049918
Adam,13,20,65.0,0.74173,0.84303,0.87276,0.65392,2.69118,0.2962731999999999
Adam,14,20,70.0,0.83352,0.85061,0.91253,0.68354,2.56414,0.32462959999999996
